Node,City,Latitude,Longitude
ANTFELP008NP002,ANTIPOLO CITY,14.63986198,121.1355189
ANTFELP009NP007,ANTIPOLO CITY,14.64999254,121.1338658
ANTFELP010NP005,ANTIPOLO CITY,14.64975529,121.1319177
ANTFELP094NP001,ANTIPOLO CITY,14.6226942,121.1122063
ANTFELP094NP002,ANTIPOLO CITY,14.62222793,121.1100745
ANTFELP094NP003,ANTIPOLO CITY,14.62176496,121.1143697
ANTFELP094NP004,ANTIPOLO CITY,14.62179432,121.1150449
ANTFELP094NP005,ANTIPOLO CITY,14.62131247,121.1143177
ANTFELP094NP006,ANTIPOLO CITY,14.6212969,121.1150205
ANTFELP094NP007,ANTIPOLO CITY,14.62098286,121.115522
ANTFELP094NP008,ANTIPOLO CITY,14.62099324,121.1146691
ANTFELP095NP001,ANTIPOLO CITY,14.62094418,121.1140421
ANTFELP095NP002,ANTIPOLO CITY,14.62061682,121.1140421
ANTFELP095NP003,ANTIPOLO CITY,14.61985534,121.1140332
ANTFELP095NP004,ANTIPOLO CITY,14.61908373,121.1140332
ANTFELP095NP005,ANTIPOLO CITY,14.62125905,121.1136871
ANTFELP095NP006,ANTIPOLO CITY,14.62045041,121.1137062
ANTFELP095NP007,ANTIPOLO CITY,14.61956769,121.1136775
ANTFELP095NP008,ANTIPOLO CITY,14.61880843,121.1136169
ANTFELP096NP001,ANTIPOLO CITY,14.62067018,121.1151079
ANTFELP096NP002,ANTIPOLO CITY,14.62037556,121.1143455
ANTFELP096NP003,ANTIPOLO CITY,14.61961845,121.1143506
ANTFELP096NP004,ANTIPOLO CITY,14.61872802,121.1144017
ANTFELP096NP005,ANTIPOLO CITY,14.61887462,121.1150524
ANTFELP096NP006,ANTIPOLO CITY,14.61896722,121.1154016
ANTFELP096NP007,ANTIPOLO CITY,14.61962143,121.1157433
ANTFELP096NP008,ANTIPOLO CITY,14.61877124,121.1158346
ANTFELP097NP001,ANTIPOLO CITY,14.61125287,121.133868
ANTFELP097NP002,ANTIPOLO CITY,14.60984667,121.1349118
ANTFELP097NP003,ANTIPOLO CITY,14.61106302,121.1360145
